Caller,Truth,PRED,TP,FP,FN,Sp,Sn,F1
svaba,9361,4159,931,3228,8430,0.22385188747295023,0.09945518641170815,0.13772189349112426
breakdancer,9361,18254,1205,17049,8156,0.06601292867316752,0.1287255635081722,0.08727141046532681
manta,9361,5353,4475,878,4886,0.835979824397534,0.478047217177652,0.6082642381405464
gridss,9361,3606,2824,782,6537,0.7831392124237382,0.30167717124238863,0.4355672090691756
svaba_or_gridss,9361,5954,3020,2934,6341,0.5072220356063151,0.3226151052238009,0.39438459027097617
breakdancer_or_gridss,9361,20142,2976,17166,6385,0.14775096812630326,0.3179147526973614,0.20174219570891097
manta_or_gridss,9361,6163,4591,1572,4770,0.7449294174914814,0.49043905565644696,0.5914712702911621
svaba_or_manta_or_gridss,9361,8411,4670,3741,4691,0.5552253002021162,0.4988783249652815,0.5255458023857754
any_1,9361,23707,4706,19001,4655,0.1985067701522757,0.5027240679414593,0.28462561993468005
any_2,9361,3427,2929,498,6432,0.8546833965567552,0.31289392158957374,0.45808570534876447
any_3,9361,1413,1243,170,8118,0.8796886058032555,0.13278495887191538,0.23074067198811954
any_4,9361,628,571,57,8790,0.9092356687898089,0.06099775664993056,0.11432575833416758
